name,catid,rid,manufacturingDate,rating,quantity,price
address,15,24152,2023-10-05,1,5924,310
small,13,20631,2024-01-08,4,43304,11056
never,7,1494,2022-04-29,0,17900,14709
pressure,1,3447,2022-10-04,1,43931,24974
become,1,28842,2021-09-21,3,41167,20750
another,8,20710,2023-01-15,0,43763,25759
TV,15,20810,2022-10-09,3,36864,18004
than,1,29600,2024-08-30,5,17463,2105
program,11,16373,2024-03-26,2,20698,8655
whatever,10,26154,2024-06-07,5,29587,2085
political,4,1331,2021-12-14,0,19028,20329
pretty,9,28544,2021-03-14,1,34125,16885
fall,11,22809,2024-08-23,0,36979,11290
air,13,3076,2020-07-25,2,29392,29464
true,11,14483,2023-05-21,1,20759,981
according,2,6606,2022-05-17,0,17229,8435
computer,8,21729,2022-01-11,0,11809,27559
television,5,28326,2021-04-06,5,17504,3851
food,15,26320,2022-08-08,5,13784,2325
child,3,22596,2022-04-15,1,11032,26838
pull,3,24904,2021-08-05,2,22401,11569
play,8,9953,2020-04-12,3,26630,17914
crime,16,17129,2024-08-30,5,30469,8052
huge,2,12520,2020-04-16,2,30817,7402
listen,2,5818,2023-05-29,3,37034,16611
low,4,997,2024-07-12,1,7627,9674
light,8,11303,2020-05-01,3,11411,28382
person,16,8089,2021-01-28,5,17439,18370
arm,11,17231,2020-03-14,2,26490,29545
recognize,16,12298,2024-08-08,0,15395,9101
feeling,10,20993,2022-10-08,5,23617,24869
series,12,12493,2023-05-25,1,13712,3500
provide,15,470,2021-03-08,5,21191,22011
city,3,15199,2022-07-13,2,23911,29947
turn,14,25711,2022-11-23,5,17272,14836
those,2,28416,2022-07-24,2,33592,1128
hard,9,18481,2021-08-12,4,25205,4302
born,11,15263,2022-07-21,3,26670,29701
sign,14,13331,2024-06-29,3,12098,26780
maintain,8,3123,2023-01-20,4,48498,19041
minute,14,15896,2021-10-27,3,8600,24039
foot,16,16276,2024-01-21,0,9446,25197
structure,3,13090,2020-06-24,2,6330,11238
authority,3,21548,2021-10-28,4,10298,21207
current,9,7405,2023-10-16,0,29771,14206
itself,12,2654,2020-08-24,1,6754,11740
national,7,21620,2024-02-09,4,48035,13350
simple,14,5007,2023-08-22,3,18772,9058
black,13,14712,2023-07-06,0,8495,21943
unit,10,2535,2021-01-23,0,44989,9536
research,3,24493,2023-03-10,3,18706,14481
exactly,11,14409,2022-11-30,3,12505,330
later,15,19878,2022-07-08,3,24816,10881
outside,13,28878,2022-02-12,5,13738,13302
throughout,8,16260,2020-11-21,1,34774,3337
my,15,17613,2023-04-02,1,45918,13224
source,4,2395,2022-12-07,2,22956,2195
grow,12,23951,2022-03-11,1,11565,19113
idea,8,14484,2021-03-01,3,21345,17994
after,13,27687,2023-04-03,3,27774,7157
everything,15,15428,2021-10-09,5,26114,29044
somebody,12,4546,2022-07-28,1,23191,3479
condition,5,25275,2023-06-17,0,26557,29950
write,12,15242,2023-04-21,0,30303,19385
outside,12,13948,2023-04-14,2,7242,9286
campaign,13,9269,2021-06-27,0,48301,28896
put,16,18618,2022-05-09,2,43959,15828
oil,16,26487,2022-08-11,1,10464,23235
before,16,14501,2022-10-04,0,24567,8517
throw,11,6367,2021-05-13,0,15151,29426
spend,11,9923,2020-01-30,2,21981,23428
doctor,5,2520,2024-01-19,0,20294,13139
effect,6,1433,2022-03-24,0,40251,15786
paper,4,25390,2024-09-15,2,21110,15070
third,10,25722,2024-05-24,2,14105,24832
performance,3,15446,2020-08-31,1,35154,2832
often,8,941,2022-09-17,5,30123,8428
protect,7,9975,2020-07-05,2,34818,24931
light,16,25528,2020-05-04,3,28978,18326
stock,12,11684,2024-04-05,0,33461,2321
pretty,5,29303,2020-03-29,5,45741,5026
television,5,23243,2022-03-30,5,11506,13855
type,16,7978,2024-09-18,1,36534,24278
majority,15,27442,2023-10-14,4,18685,14981
number,15,28088,2020-08-06,2,37051,21172
such,11,22813,2022-12-30,2,38680,20349
even,3,17846,2022-04-07,2,29922,12885
option,4,9749,2022-08-25,4,40819,11851
remember,6,19570,2022-07-16,5,20843,16528
win,13,29489,2023-12-17,1,22203,7229
address,7,22826,2021-02-06,5,9506,10480
sing,11,4974,2021-04-14,0,32681,27543
total,15,17905,2022-06-06,3,21287,10412
imagine,13,553,2021-12-23,1,44445,9933
modern,14,3088,2020-02-13,4,14273,11058
town,9,27115,2020-09-27,0,29522,23353
night,16,474,2023-03-17,3,41778,9451
produce,9,25198,2023-02-14,3,21627,17538
score,13,9114,2023-12-11,3,10366,11628
science,13,3587,2021-08-25,2,13638,6521
site,5,4615,2024-07-12,3,21021,24218
center,11,27743,2021-01-08,4,7140,10683
value,7,4262,2022-06-26,5,29025,8069
magazine,16,16479,2020-09-21,5,26701,11782
budget,8,7738,2022-09-21,3,8722,8786
opportunity,5,26879,2020-01-30,5,22479,4220
building,8,14054,2021-12-17,4,32645,26214
surface,16,9349,2022-11-24,3,7398,21766
modern,11,26534,2020-08-20,0,5738,20313
ready,12,29081,2021-10-21,5,34302,4289
get,10,933,2020-12-16,0,10628,7107
film,11,11645,2022-01-21,0,27673,24202
lead,13,2551,2021-01-31,0,21919,13142
every,13,5460,2020-08-18,5,18075,6235
lead,16,13865,2020-02-04,0,32843,2247
body,8,3723,2020-05-20,5,16370,12833
much,3,20011,2022-10-17,3,13092,2105
sell,11,25622,2023-07-31,3,28911,13230
begin,5,27917,2022-07-10,3,28886,14035
manage,2,18732,2020-02-15,3,47253,18059
better,10,28187,2023-04-29,1,34979,8497
stop,13,10863,2023-11-28,0,42156,23963
no,11,22316,2023-05-25,1,6263,10256
professor,14,16261,2023-10-11,2,40759,10010
by,15,12688,2020-06-23,2,33784,26311
factor,11,656,2023-04-04,2,35910,13424
number,9,1669,2023-06-26,5,13671,14559
less,3,9530,2023-01-29,4,27553,29381
wind,6,10109,2023-01-31,5,6746,14241
record,8,28894,2024-05-19,2,31069,19636
book,3,6130,2020-10-03,3,9814,23752
likely,5,27021,2021-06-03,2,11022,11579
rate,11,24521,2022-10-16,0,44831,23711
consider,16,8145,2021-09-24,4,24024,15034
structure,1,12256,2020-01-28,5,7296,12143
really,5,28171,2021-11-03,2,42820,28452
evening,7,25711,2022-02-20,2,6934,16879
thank,10,17047,2022-09-07,4,36447,16139
person,13,27207,2020-12-09,0,18630,4878
stock,12,3082,2022-02-06,3,36747,25950
then,7,23370,2023-04-08,0,27386,20700
eat,14,13336,2022-03-02,4,30148,13914
them,7,10767,2024-04-28,2,45767,19950
answer,1,29236,2022-12-24,1,5894,27294
reflect,16,7587,2022-02-24,2,18112,10599
director,16,25256,2022-10-15,3,16963,20818
rather,11,12021,2024-06-15,3,32868,138
discuss,3,27094,2021-07-09,5,49463,2712
kid,1,21925,2023-05-01,2,21632,3895
song,4,1668,2022-11-29,5,33746,6412
culture,10,13643,2020-11-12,5,48178,9978
concern,13,6177,2022-10-19,3,43788,13071
Republican,6,22468,2024-10-18,3,39522,18260
end,12,16180,2022-02-19,5,47348,3401
movie,13,5548,2021-11-23,4,11180,16285
control,3,452,2022-09-10,2,20873,11265
week,6,18177,2020-07-15,4,17260,5187
where,15,8601,2023-02-20,2,42376,3948
family,2,6736,2021-07-20,2,48993,21234
attention,14,11804,2024-09-19,4,44286,16377
TV,14,7644,2021-01-10,3,32116,25327
social,2,6249,2024-06-15,4,36692,7298
kitchen,10,5805,2021-05-03,1,33227,27724
before,1,14836,2021-09-10,1,47793,17838
stuff,16,4905,2022-04-11,4,31367,8081
eight,1,1807,2022-01-24,0,34325,1477
sell,14,26539,2023-12-07,3,43653,10669
point,2,19647,2024-08-27,3,31842,1609
to,4,20318,2021-06-12,5,7419,22919
green,10,21052,2023-07-24,3,45013,14615
cost,8,28354,2022-03-31,4,46256,6262
method,13,29707,2020-09-07,3,9480,12284
federal,4,7941,2022-12-14,4,10263,27698
better,10,12230,2022-01-12,3,28193,24364
enjoy,6,450,2022-04-19,4,48680,28241
measure,16,2367,2022-01-08,4,38196,23329
study,13,21254,2020-09-06,0,19948,4593
rest,5,5767,2023-03-14,0,32798,23876
food,7,26221,2021-07-11,4,9610,13654
across,1,2123,2024-10-29,4,36320,1079
tell,1,1481,2022-01-07,2,25028,27803
forward,7,26208,2024-10-22,5,18446,1270
those,9,28791,2020-08-09,5,40158,7873
radio,8,6130,2023-02-08,2,47372,10304
guess,2,6437,2023-01-04,5,13008,16312
final,11,21316,2020-05-06,1,25747,26681
Democrat,13,21648,2024-05-10,2,47550,5105
follow,3,4162,2022-08-02,5,48069,12163
commercial,7,13477,2024-06-18,5,45274,19780
also,9,26576,2021-01-15,4,15778,9372
degree,9,18971,2021-12-03,4,38147,998
prove,15,18211,2022-12-07,5,38023,16715
I,1,29066,2020-08-19,3,48954,26106
north,7,27207,2020-10-04,0,40299,18475
her,14,6725,2024-09-16,1,15750,21911
black,16,27024,2022-08-18,1,41728,24765
already,2,10250,2023-10-16,0,23210,5935
skin,7,5010,2023-05-31,3,27373,25453
agent,7,18437,2022-11-19,4,18036,22432
answer,6,10898,2024-06-19,4,30241,23569
leader,2,2066,2021-10-21,0,25016,8767
land,10,10289,2021-05-30,1,30098,19115
sport,5,8038,2023-07-29,5,12273,4552
list,16,24704,2020-07-28,5,47751,19165
eye,2,24428,2020-07-19,0,27456,16887
save,12,9609,2020-11-02,1,10319,17861
sure,8,16965,2022-03-19,2,43901,6820
institution,9,28480,2022-12-05,0,16351,20914
anything,2,26963,2023-05-31,3,27412,18408
answer,14,20368,2020-12-24,4,28187,2536
training,6,7700,2024-09-13,0,8355,26607
rather,6,17756,2020-10-25,5,36567,14208
begin,2,837,2023-05-04,2,36119,17983
loss,11,16426,2020-04-13,5,39632,3299
question,9,21548,2022-03-04,4,9677,22395
father,5,20145,2024-09-13,5,31423,21661
until,11,29670,2020-10-13,2,26035,21932
care,4,1543,2020-03-25,0,45925,19693
themselves,14,712,2022-02-06,3,31578,24310
risk,6,26466,2022-12-29,3,32320,17981
produce,15,14608,2023-05-16,4,38105,14537
so,7,20200,2021-10-25,0,7559,19964
staff,2,19193,2020-10-30,0,9358,7004
environmental,2,6289,2021-03-31,0,25015,3436
newspaper,6,5934,2021-07-24,1,39057,29444
dinner,3,25202,2023-01-15,2,24730,1736
kind,2,15607,2022-06-24,3,13629,21825
consider,9,27334,2020-09-16,4,8875,16415
argue,2,19599,2020-05-18,3,25198,20250
today,10,29750,2020-03-26,5,40629,15771
stuff,5,11995,2020-10-20,4,37960,1719
myself,3,859,2023-04-28,4,19070,4230
time,2,29406,2020-11-08,4,8033,27396
product,6,20364,2024-01-07,2,49871,10843
about,12,14755,2023-05-04,3,39959,3855
morning,13,17792,2022-09-06,4,13846,15091
range,6,9836,2020-08-07,5,10121,29840
government,11,27893,2024-01-12,4,36263,19464
no,6,1396,2022-03-11,3,14501,26361
listen,10,18691,2022-01-20,0,25889,216
southern,15,25784,2021-02-20,4,32525,16376
light,9,11667,2024-04-01,5,31597,12342
across,13,13837,2023-12-26,2,44687,28140
many,16,4407,2024-01-17,3,20511,28753
big,13,17284,2022-05-22,1,47456,22555
west,15,21007,2023-12-24,1,36619,27658
meeting,3,1977,2020-05-07,2,28190,22515
enough,13,15380,2020-03-02,0,37453,20339
good,8,26832,2021-08-07,5,46573,27358
thus,11,29596,2020-11-24,5,41719,20383
modern,1,12957,2022-06-07,5,14335,13711
page,16,3243,2023-08-07,5,6390,23449
us,5,6722,2022-08-23,0,14538,4370
budget,8,967,2022-01-17,0,6868,9446
many,4,27585,2020-05-30,1,31847,17907
focus,10,467,2021-01-11,3,42498,28722
alone,11,22910,2023-05-22,3,31017,16753
fly,14,10028,2020-10-03,0,16392,627
guess,2,2127,2020-08-13,2,34948,2614
else,13,7487,2024-04-05,4,35871,14998
effort,15,13543,2024-01-09,3,43230,23649
house,14,15562,2024-07-14,1,26262,22276
us,16,18300,2021-01-21,4,45900,14060
defense,6,2893,2021-09-25,5,8873,25283
officer,5,8816,2021-11-25,5,34174,18963
positive,11,2989,2021-12-17,5,11602,27918
successful,16,9011,2022-04-21,5,46195,25388
if,5,6002,2023-10-11,1,41761,29768
single,3,18332,2022-06-25,1,45730,6830
ready,7,17268,2024-05-19,0,14592,13044
according,7,13308,2021-06-24,3,20576,16674
investment,12,13319,2021-07-08,4,18654,26247
his,2,18250,2021-08-24,0,38980,24418
new,13,26151,2022-05-10,4,22800,12652
campaign,10,20385,2022-08-11,1,46782,15367
this,5,282,2020-10-12,2,15173,20237
likely,12,1494,2020-10-26,1,39980,8539
and,8,1003,2023-03-20,1,29443,17185
house,12,6336,2020-10-02,2,26372,23972
social,3,21047,2020-05-20,2,12204,20413
finish,2,25435,2022-09-02,5,12044,12803
major,16,6171,2020-08-26,5,40037,17574
themselves,2,5488,2020-05-06,3,42256,15795
international,6,19998,2020-01-16,3,40166,431
because,8,2895,2024-08-14,1,38010,7731
name,8,7437,2022-12-05,1,32063,27859
firm,2,3186,2020-06-07,1,39765,12390
top,1,1164,2022-08-06,2,14613,25283
up,4,4752,2020-07-25,2,15102,7278
past,12,19539,2020-04-22,1,42154,7035
in,11,21428,2023-01-09,4,6397,10428
yes,6,2119,2021-11-15,2,20041,12698
tend,9,15755,2021-02-07,5,43319,5093
reveal,14,24726,2023-06-08,0,37940,2375
human,13,670,2023-05-16,2,37470,10058
fly,2,15411,2024-03-20,1,14139,6853
service,1,17226,2023-04-09,0,33565,6672
write,10,6936,2024-08-28,0,20247,3958
notice,15,15268,2023-07-08,1,45473,20051
apply,10,2804,2024-04-20,0,39916,14993
young,15,6351,2022-09-13,0,14286,6578
forget,7,23804,2020-10-22,5,20043,1151
weight,5,4803,2022-03-03,5,30814,11389
when,14,20728,2022-03-27,3,22790,1697
surface,5,25047,2021-07-09,2,43656,20805
listen,1,18047,2022-06-09,0,9461,25398
first,7,15739,2023-09-01,5,40298,13317
nature,10,21386,2023-11-28,1,35936,19799
hotel,3,7763,2023-04-27,0,15785,17777
defense,12,18933,2021-04-23,1,5482,11284
group,11,11511,2023-01-21,4,44899,13640
network,11,6102,2022-03-31,5,32574,27048
with,4,13520,2024-04-08,4,42231,10975
it,7,6186,2024-07-14,4,18412,17065
economy,12,10474,2022-07-01,3,5028,26132
quickly,14,846,2022-12-31,4,21370,16814
spend,7,24525,2024-06-11,0,21118,23630
catch,4,10717,2023-10-13,5,8809,20748
receive,4,2568,2020-11-11,0,35227,18131
him,10,28688,2024-05-31,0,40430,12308
voice,2,21415,2024-09-30,1,40177,786
those,9,16697,2022-07-21,5,11716,20234
feeling,16,11150,2023-02-07,0,23555,17966
cut,10,24993,2020-07-14,2,15745,3716
tree,14,20356,2020-02-29,1,49789,17703
feeling,2,16071,2024-03-16,4,26767,18963
away,7,19153,2023-02-04,1,45998,16521
into,11,13562,2020-07-06,4,7792,10487
understand,9,21897,2021-10-31,4,40272,12069
book,7,20278,2024-01-30,0,34333,14173
social,1,19751,2023-11-11,2,39371,14286
data,5,2076,2021-12-20,1,40371,28384
pull,4,10428,2022-08-25,1,25979,1406
its,10,26357,2020-12-24,3,16076,3608
poor,4,14202,2020-11-09,0,14989,15525
current,13,8100,2024-02-12,5,31146,3881
rest,12,686,2022-04-21,1,13489,11894
yet,10,9415,2021-12-06,4,27121,20447
market,13,28399,2020-08-07,2,16443,16056
shake,3,12212,2020-10-28,2,6572,21866
guy,3,18349,2023-11-18,3,49547,2581
recently,9,6884,2021-01-22,3,43884,28863
quite,6,16482,2024-10-06,5,41963,1761
large,9,11746,2020-02-23,3,45387,2924
provide,1,28430,2021-04-16,1,11308,15005
skin,6,2180,2022-01-15,5,30801,16927
understand,1,26922,2024-04-04,4,26178,943
pass,4,21558,2023-03-25,5,9581,6180
between,3,14513,2021-08-12,1,17382,16496
without,4,2486,2020-08-06,3,29636,236
bank,3,5699,2024-07-04,3,41345,24279
energy,7,8893,2021-09-19,2,9884,1517
including,4,18715,2023-06-25,0,19236,25006
manage,5,14841,2021-05-10,5,10738,6672
season,2,27327,2020-10-29,5,10176,309
soldier,1,24670,2024-02-14,1,44584,8523
apply,6,23729,2020-09-10,3,48727,2292
size,16,24832,2021-12-10,3,40587,12626
above,6,12622,2022-11-14,1,26340,28570
total,8,24988,2022-04-09,2,12861,19090
miss,5,27561,2020-02-28,4,46432,9302
he,12,22595,2023-09-26,0,16916,15871
dog,9,26958,2022-06-23,4,11873,6994
thank,14,29596,2020-08-05,2,14457,26866
artist,5,19946,2020-09-17,5,44623,12613
in,10,4684,2024-08-27,5,42905,10389
general,1,7577,2024-04-26,1,44269,2978
change,5,14932,2022-12-24,1,20424,10717
house,13,14082,2024-05-14,3,40435,22278
high,2,611,2021-12-06,0,28838,27294
night,2,14314,2024-07-15,5,24130,3844
lead,9,20821,2022-01-31,4,45772,8638
author,16,25587,2022-12-28,0,37320,9142
note,5,6455,2023-12-28,5,32523,1220
visit,13,18396,2021-06-15,0,6141,15936
stage,16,7381,2022-05-25,4,18885,12292
good,15,7315,2024-01-12,3,15996,26808
now,8,11000,2020-08-01,3,16510,27231
start,9,22952,2024-08-29,0,44539,13449
water,1,29413,2022-05-23,5,15303,26831
name,7,22394,2022-01-06,5,28603,8609
environment,8,27396,2023-04-22,0,13927,1590
television,15,2900,2022-08-31,4,28279,19300
subject,4,20796,2020-06-04,2,32313,18827
rest,7,10480,2020-09-22,4,39136,22072
speech,4,22410,2022-12-07,4,18622,10808
hair,7,6466,2024-03-29,5,21954,22558
catch,4,4411,2021-02-25,2,19420,13539
officer,11,8676,2020-10-29,1,22851,10791
order,8,16439,2020-09-01,3,40221,29256
for,15,16153,2024-08-01,0,40402,3742
blood,8,12992,2023-04-12,2,18631,2357
peace,8,26463,2023-06-13,0,42857,4425
pay,5,4013,2020-12-08,4,25326,26868
style,5,23975,2023-01-25,0,29211,13033
subject,16,22974,2021-09-05,1,5911,26937
style,3,22523,2020-05-18,2,49070,24746
trouble,7,22096,2022-07-04,1,33770,22173
court,14,14659,2020-02-27,2,20816,25960
myself,10,19397,2020-10-29,5,27770,9661
present,4,6499,2021-02-11,3,15494,29085
fact,12,6363,2022-03-14,4,46549,7866
animal,8,13539,2020-08-05,5,31045,27368
student,1,6287,2024-04-06,0,10485,29580
clearly,5,22498,2020-11-29,0,10751,12027
decade,11,6029,2021-08-24,4,23190,3831
public,15,637,2022-09-16,1,19164,3072
set,11,7854,2020-12-01,2,30468,27098
thing,7,399,2021-03-19,3,19558,28102
administration,5,26991,2021-02-28,4,37321,23045
agent,13,13667,2020-01-20,4,5907,11937
value,13,28285,2022-07-12,1,23374,6570
somebody,2,17527,2024-09-18,0,23749,482
brother,10,22652,2022-05-17,2,7110,761
cover,2,18660,2022-03-19,3,8705,7907
begin,7,26107,2020-03-09,3,37700,25428
early,13,16427,2020-04-10,1,49323,11792
leader,13,28237,2024-08-10,5,10344,9331
above,9,22816,2022-04-18,5,34913,19204
reflect,7,2927,2020-09-12,3,11016,6833
direction,7,8050,2022-07-27,0,49602,17512
company,8,19624,2021-11-19,4,25455,24715
main,7,996,2022-09-01,5,14281,7919
stuff,4,15397,2023-11-20,1,20641,17161
price,10,14773,2023-03-23,2,7784,25321
plant,13,26012,2020-12-14,4,5323,18505
season,16,14704,2020-03-15,4,21880,13427
old,13,4741,2022-12-24,4,36710,18304
history,7,16129,2024-04-19,1,11863,11380
oil,7,2216,2020-06-17,2,21813,25557
finish,3,12603,2021-08-14,3,14188,14992
interesting,10,28969,2023-09-28,1,41546,22097
number,8,13604,2020-08-23,3,5892,7110
little,4,12156,2021-10-03,1,43664,5162
movement,12,17763,2021-07-20,5,31969,713
entire,11,10512,2024-09-21,2,47303,26566
full,2,15102,2022-12-25,3,19600,25660
seem,15,29695,2021-09-28,4,36327,18068
need,4,12721,2020-04-02,2,41164,9539
stuff,6,14047,2022-12-13,2,41050,5966
business,8,7575,2023-01-02,1,24682,20773
sort,14,13210,2022-04-14,2,13681,19885
military,8,979,2024-01-25,0,25729,25380
region,16,7626,2022-06-22,3,5644,14963
support,7,12791,2021-07-14,1,36106,22463
occur,5,27176,2023-09-05,1,47437,29923
at,10,6380,2020-12-23,1,14761,7561
range,10,7728,2020-02-27,0,33135,5371
debate,8,3496,2024-06-06,1,36803,23382
no,4,27423,2022-02-21,1,41525,10777
senior,2,19366,2024-01-22,3,42992,22465
song,10,4412,2024-02-29,5,22479,4267
case,6,24068,2023-08-30,3,32131,2912
available,15,704,2024-10-17,1,23767,19546
eight,2,22048,2023-01-08,4,30016,23083
student,9,1739,2022-12-25,2,47103,1845
situation,8,20760,2024-09-27,1,12581,3456
north,9,26427,2020-09-15,4,12492,28036
local,2,18150,2022-11-25,4,20278,22065
southern,10,24940,2022-07-04,4,40333,24234
in,1,2350,2022-07-06,1,7915,28865
parent,15,9460,2023-06-21,4,7549,16914
bar,2,7134,2021-08-16,4,29280,20872
growth,3,10005,2020-09-20,1,28696,25405
home,6,25616,2020-01-11,1,33229,8212
test,6,15800,2024-08-24,4,6018,25144
worry,15,14547,2023-10-31,0,42161,1821
education,13,19984,2024-02-12,4,15133,22467
great,10,28811,2023-04-17,0,31132,7326
all,15,629,2023-12-31,4,21227,1962
wide,3,11593,2023-07-02,3,8504,10091
movement,13,1977,2023-09-02,2,25399,20946
action,2,6685,2020-10-13,5,31413,5204
white,4,8448,2024-07-28,4,17415,21577
chair,15,6520,2020-08-22,2,47269,16623
budget,12,7129,2022-09-30,5,21679,26669
community,13,4977,2020-02-22,3,17713,3395
two,4,24698,2020-10-11,2,5055,1127
employee,12,20704,2023-10-24,2,41699,22970
marriage,12,12559,2022-01-22,1,43024,1555
west,16,1134,2023-05-05,5,27286,20754
power,2,27106,2023-06-18,3,41681,8056
new,9,23401,2020-04-30,4,28267,3708
such,11,17124,2024-10-08,2,28300,9158
plan,5,21863,2020-02-20,1,24059,8325
leave,16,5369,2024-10-29,4,46345,25336
matter,4,16877,2024-10-19,0,36051,26412
action,10,105,2021-11-10,1,38368,5976
business,10,29873,2020-02-10,0,11173,27540
true,9,6125,2020-02-09,5,10060,6360
seat,10,24680,2021-12-21,5,32390,14692
beat,3,22527,2022-03-20,5,11326,11343
assume,7,4979,2022-09-30,4,15108,23463
think,7,18953,2023-12-06,3,30527,19580
high,16,25895,2024-05-10,2,23040,16730
eat,1,10311,2022-04-29,1,18389,28855
before,11,17723,2020-09-11,3,14873,23144
message,5,17922,2024-08-23,2,28536,27224
rather,9,1338,2024-08-13,2,37851,9955
mention,2,11992,2023-07-30,1,6843,21700
program,9,14701,2023-05-14,2,35832,21834
size,8,19114,2021-04-25,3,21647,29128
popular,6,12459,2022-03-07,5,20060,24655
challenge,13,23168,2021-12-29,2,25119,10019
third,2,20464,2021-11-04,3,42524,1254
ago,6,23860,2023-06-29,0,19403,27051
really,4,27934,2020-05-13,0,15727,18662
wonder,1,11538,2021-05-28,0,26783,6497
most,6,14801,2021-07-18,0,33375,1665
himself,8,985,2021-09-16,0,48267,2099
executive,5,6698,2020-02-16,1,49583,20526
surface,1,14847,2021-07-12,3,8091,8868
attorney,9,27898,2024-04-03,4,16740,17649
positive,9,26970,2023-03-07,0,16578,27430
relationship,11,8712,2022-11-24,3,33238,3899
six,6,21068,2020-11-03,2,5837,19952
among,16,7214,2021-01-09,3,14997,13775
hundred,15,10289,2022-08-31,5,24763,754
policy,15,21654,2023-03-26,2,33445,14988
today,13,20253,2022-08-25,4,41330,23887
get,11,26533,2024-04-15,1,34749,23549
finish,14,16373,2023-10-31,2,22647,16403
treatment,10,2810,2023-02-18,2,44056,27265
let,11,806,2022-04-07,1,23694,3678
for,2,2783,2023-08-16,5,14279,22243
produce,2,28445,2023-06-14,1,23523,10715
night,16,18268,2022-02-01,2,29667,278
benefit,6,27716,2021-05-30,0,16605,19561
far,6,4068,2022-01-13,5,33963,26955
behavior,2,25803,2022-11-18,0,42634,7296
sister,14,1823,2024-08-29,1,46838,8560
despite,12,29602,2024-01-11,2,46322,1946
threat,11,5222,2023-11-08,0,11025,21656
management,12,15742,2022-08-21,2,7692,9791
sister,6,5634,2023-07-30,4,7817,5452
church,15,21458,2020-03-24,5,41090,391
why,15,29833,2021-04-08,2,29397,18306
growth,3,1744,2023-04-15,2,34342,26547
national,12,3091,2023-08-18,0,15505,22083
tax,4,3962,2020-07-04,0,45941,23444
dark,14,18504,2024-07-09,1,13626,16655
gun,15,9408,2023-04-23,3,14363,19586
city,11,10927,2023-09-17,5,11552,11848
prevent,8,884,2022-06-23,5,46784,23032
thus,6,2182,2021-10-09,2,40573,8462
station,10,25504,2020-04-23,1,9637,6081
model,7,12024,2023-06-26,4,11636,10969
enough,2,4855,2021-04-03,4,7271,23930
such,10,24223,2021-06-18,2,20032,5176
feeling,5,25256,2021-07-23,4,17066,18902
expect,14,13149,2020-11-23,5,21616,9880
Republican,14,25214,2023-05-01,5,6824,3196
small,2,20098,2020-07-02,3,24286,16282
four,9,26572,2023-05-19,3,39535,25454
race,3,11076,2021-07-21,5,30869,26009
serve,14,7578,2022-10-30,2,20832,9487
talk,4,27935,2021-05-21,0,14308,29662
plan,4,7318,2022-12-22,0,45918,3743
than,5,23555,2021-05-08,3,41839,2623
various,14,8144,2024-07-30,4,29574,24211
region,12,16821,2020-02-05,3,48108,1466
wish,7,25768,2020-01-27,1,49956,5583
here,3,13519,2024-05-26,3,10958,8632
us,16,23284,2020-05-21,3,19555,20343
vote,16,3685,2023-12-03,2,7935,26799
project,16,10564,2024-01-06,5,39536,28021
month,6,18995,2022-10-30,1,21315,12504
charge,13,14628,2024-05-23,5,28321,7403
bill,3,21478,2024-03-20,2,23612,17172
other,3,11954,2021-03-15,3,33353,17505
dinner,8,18991,2024-09-19,4,40825,15782
source,7,19733,2020-12-18,0,21991,23163
cultural,11,18672,2024-08-05,0,22736,18026
manager,3,21795,2024-05-14,0,35898,26172
center,7,23120,2020-04-11,2,21412,21504
know,11,29507,2022-04-28,1,31637,29875
finish,12,22105,2021-02-06,5,10211,28251
beyond,1,10540,2024-09-30,2,31284,3932
magazine,8,15292,2020-05-30,5,45192,7544
bag,14,16102,2024-09-21,1,22883,10531
drug,16,4774,2021-05-18,0,18046,23126
thus,4,23101,2022-01-26,2,35542,13274
they,4,27560,2020-07-27,0,37416,3778
green,3,15078,2024-06-30,3,35902,25738
quickly,1,9163,2021-04-24,2,31606,28865
threat,15,19665,2021-09-09,5,38981,20064
long,7,29781,2024-02-11,3,14498,6918
remain,5,16901,2023-06-22,3,36223,27999
church,2,6421,2024-02-07,4,11374,4565
yard,1,21855,2022-09-08,1,39051,8966
offer,7,28398,2023-05-25,2,25533,15724
way,9,25815,2023-08-07,5,9250,814
wonder,16,25302,2024-06-28,0,35663,27246
blood,11,22775,2022-11-23,1,30338,7358
page,1,21796,2022-01-14,2,25152,5795
national,13,23250,2021-09-09,3,33424,5008
grow,15,9033,2022-06-09,5,14010,1128
whatever,1,18783,2020-08-12,3,49637,24273
create,6,22892,2023-06-28,2,22292,9180
town,1,2383,2023-09-27,2,38063,4380
put,4,17400,2023-05-13,0,9573,25548
writer,8,20364,2021-07-11,0,11253,10890
table,2,2749,2020-05-24,5,6727,16175
long,6,3237,2020-11-12,1,23288,24132
speech,10,17057,2023-08-25,4,20818,26595
here,7,17042,2020-01-13,0,21805,254
green,10,12246,2020-12-24,5,12684,16634
your,2,22227,2021-05-30,1,39803,7067
prevent,8,14775,2024-02-07,1,31267,15564
morning,15,6780,2023-07-17,3,37089,20153
board,10,6586,2020-08-05,4,7025,22076
cell,3,7591,2024-02-06,3,17713,29999
reason,3,7155,2021-08-01,1,44763,29174
her,13,24121,2021-03-21,0,7049,18647
surface,10,11632,2021-03-10,1,46336,27384
pick,9,18581,2022-07-16,5,23351,16139
official,11,12407,2023-06-03,5,37908,2426
all,10,26353,2023-11-10,4,44930,10458
such,13,1677,2021-04-06,3,38415,8338
